set_num,name,year,num_parts,theme_name,parent_theme
00-1,Weetabix Castle,1970,471.0,Castle,Legoland
0011-2,Town Mini-Figures,1978,,Supplemental,Town
0011-3,Castle 2 for 1 Bonus Offer,1987,,Lion Knights,Castle
0012-1,Space Mini-Figures,1979,12.0,Supplemental,Space
0013-1,Space Mini-Figures,1979,12.0,Supplemental,Space
0014-1,Space Mini-Figures,1979,12.0,Supplemental,Space
0015-1,Space Mini-Figures,1979,,Supplemental,Space
0016-1,Castle Mini Figures,1978,,Castle,Castle
00-2,Weetabix Promotional House 1,1976,,Building,Legoland
00-3,Weetabix Promotional House 2,1976,,Building,Legoland
00-4,Weetabix Promotional Windmill,1976,126.0,Building,Legoland
005-1,Basic Building Set in Cardboard,1965,35.0,Basic Set,Classic
00-6,Special Offer,1985,3.0,Classic Town,Town
00-7,Weetabix Promotional Lego Village,1976,,Building,Legoland
010-1,Basic Building Set in Cardboard,1965,57.0,Basic Set,Classic
010-3,Basic Building Set,1968,77.0,Basic Set,Classic
011-1,Basic Building Set,1968,145.0,Basic Set,Classic
022-1,Basic Building Set,1968,110.0,Basic Set,Classic
03093-1,The Race to Build It Board Game,1999,,Game,Gear
033-2,Basic Building Set,1968,,Basic Set,Classic
044-1,Basic Building Set,1968,,Basic Set,Classic
055-2,Basic Building Set,1968,,Basic Set,Classic
066-1,Basic Building Set,1968,,Basic Set,Classic
080-1,Basic Building Set with Train,1967,710.0,Basic Set,Classic
088-1,Super Set,1969,615.0,Basic Set,Universal Building Set
10000-1,Guarded Inn,2001,256.0,Castle,Castle
10001-1,Metroliner,2001,,Train,Train
10002-1,Railroad Club Car,2001,272.0,Train,Train
10003-1,1 x 2 Sand Red Bricks,2001,100.0,Bulk Bricks,Bulk Bricks
10004-1,2 x 2 Sand Red Bricks,2001,100.0,Bulk Bricks,Bulk Bricks
10005-1,2 x 4 Sand Red Bricks,2001,50.0,Bulk Bricks,Bulk Bricks
10006-1,1 x 6 Sand Red Bricks,2001,50.0,Bulk Bricks,Bulk Bricks
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,25.0,Bulk Bricks,Bulk Bricks
10008-1,2 x 4 Roof Tile Sand Red,2001,50.0,Bulk Bricks,Bulk Bricks
10009-1,Assorted Blue Bricks,2001,62.0,Bulk Bricks,Bulk Bricks
100-1,4.5V Motor with Wheels (Small Version),1966,16.0,4.5V,Train
